gene	gene_name	gene_type	chr	start	end	strand	length	Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Ha1_00043084	Ha1_00043084	protein_coding	Ha1	3924697	3929461	+	1404	6.548	0.995	27.385	28.609	8.256	0.037	19.634	0.877	6.083	3.565
Ha1_00043085	Ha1_00043085	protein_coding	Ha1	3942436	3944613	+	900	9.311	0.931	23.562	1.249	0	0	0	0	0.167	0.127
Ha1_00043087	Ha1_00043087	protein_coding	Ha1	4060229	4062915	-	1312	0	0.071	4.532	1.142	0.757	0	0.23	0	1.264	0.408
Ha1_00043088	Ha1_00043088	protein_coding	Ha1	4067353	4067538	-	186	27.234	16.526	7.459	4.432	39.171	0.14	16.467	10.833	39.707	2.465
Ha1_00043089	Ha1_00043089	protein_coding	Ha1	4067850	4072163	-	342	19.84	3.268	2.897	2.191	10.652	0	8.199	1.964	15.131	2.57
Ha1_00043090	Ha1_00043090	protein_coding	Ha1	4159748	4161299	+	327	0	0	4.242	1.604	0	0	0.264	0	1.383	0.117
Ha1_00043091	Ha1_00043091	protein_coding	Ha1	4162652	4163044	+	302	0.207	0.308	6.562	2.357	0	0.086	1.428	0	5.324	1.139
Ha1_00043092	Ha1_00043092	protein_coding	Ha1	4177295	4179898	-	456	285.741	58.216	247.296	185.457	153.239	0.911	182.205	30.685	188.405	130.475
Ha1_00043095	Ha1_00043095	protein_coding	Ha1	4374434	4376212	+	311	23.829	4.193	7.01	2.651	26.621	0	10.542	3.599	29.402	2.58
Ha1_00043096	Ha1_00043096	protein_coding	Ha1	4392880	4395894	+	1515	0.413	0.246	2.616	0.223	0.437	0	0.057	0	0	0.05
Ha1_00043098	Ha1_00043098	protein_coding	Ha1	4399848	4401315	-	612	263.691	52.813	366.253	230.999	138.529	0.806	212.523	26.887	213.197	151.225
Ha1_00043100	Ha1_00043100	protein_coding	Ha1	4403702	4417602	-	1377	4.814	1.691	29.505	7.429	0	0.189	0.564	1.463	10.836	0.971
Ha1_00043102	Ha1_00043102	protein_coding	Ha1	4489561	4489827	+	267	0.351	2.791	37.113	6.455	9.923	0.097	321.684	18.027	1.129	2.862
Ha1_00043103	Ha1_00043103	protein_coding	Ha1	4543576	4545090	+	1515	2.188	0.738	0.392	1.855	0.219	0.051	2.42	2.217	2.62	2.699
Ha1_00043104	Ha1_00043104	protein_coding	Ha1	4571246	4571639	-	354	0.707	0.263	3.919	11.749	0	0	14.258	1.581	21.998	1.079
Ha1_00043105	Ha1_00043105	protein_coding	Ha1	4576357	4576652	-	162	0.386	0	0	5.088	0	0	7.989	0.691	18.608	0
Ha1_00043106	Ha1_00043106	protein_coding	Ha1	4589592	4590589	-	456	0.274	0.817	0.869	0.575	0	1.879	1.041	0.736	1.542	0.251
Ha1_00043108	Ha1_00043108	protein_coding	Ha1	4635716	4636007	-	180	1.042	1.552	2.202	1.249	0	0	2.636	0	0.558	1.274
Ha1_00043110	Ha1_00043110	protein_coding	Ha1	4665546	4667061	-	637	1.374	0.731	13.067	4	1.56	0.041	116.617	6.853	2.13	1.2
Ha1_00043111	Ha1_00043111	protein_coding	Ha1	4715275	4715883	+	315	104.23	294.223	39.008	36.518	413.174	1.813	76.281	199.355	57.578	124.584
Ha1_00043112	Ha1_00043112	protein_coding	Ha1	4825063	4826335	+	555	0.338	1.175	0.357	0.203	0	0	0.389	0	0.724	0.62
Ha1_00043113	Ha1_00043113	protein_coding	Ha1	4842107	4845900	-	738	5	0.126	7.251	2.539	1.346	0.07	1.929	1.062	7.42	1.243
Ha1_00043114	Ha1_00043114	protein_coding	Ha1	4867532	4870408	+	2877	0	0.097	4.753	0.378	0.115	0.072	0.945	0	0	5.871
Ha1_00043115	Ha1_00043115	protein_coding	Ha1	4870656	4871424	+	693	0	0.269	6.578	0.757	0	0.037	0.934	0	0	7.334
Ha1_00043117	Ha1_00043117	protein_coding	Ha1	5037516	5045400	+	2829	2.266	1.317	1.891	1.033	7.726	0.083	244.744	0.475	0.48	0.743
Ha1_00043118	Ha1_00043118	protein_coding	Ha1	5208391	5211582	+	1230	22.981	3.786	26.425	31.103	4.577	0.464	17.466	4.641	38.314	6.648
Ha1_00043119	Ha1_00043119	protein_coding	Ha1	5226248	5227339	-	483	0.583	0.579	1.641	2.172	0	0	0.089	0	1.456	0.158
Ha1_00043120	Ha1_00043120	protein_coding	Ha1	5312281	5317749	+	735	0.383	0.634	8.898	1.835	1.352	0	0.822	0.305	2.939	0
Ha1_00043121	Ha1_00043121	protein_coding	Ha1	5323931	5330454	+	1508	1.68	5.25	8.017	2.982	1.537	0.189	1.373	2.227	10.861	2.002
Ha1_00043122	Ha1_00043122	protein_coding	Ha1	5364077	5368718	-	2145	17.653	27.054	21.066	19.477	5.867	0.048	3.861	7.932	9.955	7.714
Ha1_00043123	Ha1_00043123	protein_coding	Ha1	5456763	5461697	-	684	0.731	2.179	4.346	2.301	1.937	0.114	1.135	0.982	8.006	2.402
Ha1_00043124	Ha1_00043124	protein_coding	Ha1	5497339	5497891	-	498	0.377	0.561	0.796	2.332	0	0	0	0	2.623	0.844
Ha1_00043125	Ha1_00043125	protein_coding	Ha1	5505121	5510954	-	1162	0.081	4.168	0	24.765	0.57	0.156	0.668	36.991	0.389	37.818
Ha1_00043126	Ha1_00043126	protein_coding	Ha1	5528471	5530449	+	596	578.161	785.958	576.598	256.25	1346.906	1.22	635.648	262.376	328.001	564.528
Ha1_00043127	Ha1_00043127	protein_coding	Ha1	5716771	5720233	-	515	30.055	17.725	49.258	71.81	28.294	5.596	42.971	244.523	62.143	31.98
Ha1_00043128	Ha1_00043128	protein_coding	Ha1	5743425	5745823	+	1653	0.095	0	0.36	0.023	0	0	0.052	0	0.122	0
Ha1_00043129	Ha1_00043129	protein_coding	Ha1	5831394	5839534	-	3499	130.84	33.436	27.98	13.214	6.72	0.007	4.66	2.239	31.115	98.474
Ha1_00043131	Ha1_00043131	protein_coding	Ha1	5995894	6001158	+	4443	0.394	0.021	0.045	0.051	0	0	0.01	0	0.158	0.31
Ha1_00043138	Ha1_00043138	protein_coding	Ha1	6626989	6627442	-	335	24.082	6.117	15.382	30.87	2.966	4.727	15.066	3.341	25.496	7.642
Ha1_00043142	Ha1_00043142	protein_coding	Ha1	6702919	6704700	-	1671	0.917	0.167	0.593	0.538	1.387	0.031	0.465	0.335	1.383	0.434
Ha1_00043145	Ha1_00043145	protein_coding	Ha1	6919954	6921477	+	468	41.358	15.524	32.607	1.601	1.415	0	0.369	0	7.085	0.327
Ha1_00043147	Ha1_00043147	protein_coding	Ha1	6966201	6966672	-	258	2.182	1.083	2.304	5.809	1.284	1.006	5.685	3.905	4.479	2.666
Ha1_00043148	Ha1_00043148	protein_coding	Ha1	7274205	7277123	-	1023	12.838	33.234	20.342	30.144	35.61	1.345	32.301	40.595	32.168	33.805
Ha1_00043149	Ha1_00043149	protein_coding	Ha1	7376054	7377386	+	576	30.672	9.864	88.426	35.258	4.025	0.045	9.362	1.36	26.603	2.123
Ha1_00043150	Ha1_00043150	protein_coding	Ha1	7577010	7583133	-	1398	7.471	1.266	3.119	9.756	0.711	1.319	2.499	3.283	12.614	2.569
Ha1_00043154	Ha1_00043154	protein_coding	Ha1	8433613	8437495	+	2178	0.014	0.257	1.911	1.187	0.456	0	0.852	0.617	3.229	0.193
Ha1_00043156	Ha1_00043156	protein_coding	Ha1	9303719	9307329	+	831	6.51	1.793	4.054	5.185	1.594	0.125	4.62	1.886	11.366	3.173
Ha1_00043157	Ha1_00043157	protein_coding	Ha1	9667435	9675184	+	1397	19.943	8.868	6.242	20.331	4.741	0.074	11.425	13.221	21.65	10.613
Ha1_00043159	Ha1_00043159	protein_coding	Ha1	9930261	9934907	-	2878	13.288	23.918	47.102	18.409	16.685	0.036	14.015	8.479	19.849	11.817
Ha1_00043160	Ha1_00043160	protein_coding	Ha1	9956582	9960461	-	1014	44.066	13.32	64.693	46.781	19.269	0.307	21.867	15.455	54.651	19.897
Ha1_00043161	Ha1_00043161	protein_coding	Ha1	10067828	10070321	+	1008	19.326	5.082	0.786	2.119	17.084	0.103	85.165	21.099	11.613	13.761
Ha1_00043162	Ha1_00043162	protein_coding	Ha1	10105017	10110072	+	1118	20.193	24.828	9.927	11.965	19.254	1.254	22.843	27.033	30.558	14.218
Ha1_00043163	Ha1_00043163	protein_coding	Ha1	10114271	10124555	+	2322	14.005	7.582	50.613	15.83	2.995	0.078	7.506	1.398	11.554	3.999
Ha1_00043164	Ha1_00043164	protein_coding	Ha1	10209541	10211009	-	324	0.386	1.15	0	1.156	0	0.481	0.533	22.802	0.465	7.43
Ha1_00043169	Ha1_00043169	protein_coding	Ha1	10424134	10428038	+	615	239.627	41.954	42.537	70.613	49.002	1.604	134.397	72.987	165.428	137.502
Ha1_00043170	Ha1_00043170	protein_coding	Ha1	10440741	10442948	+	752	131.895	84.599	11.069	48.83	80.15	0.173	56.218	6.103	20.778	96.903
Ha1_00043173	Ha1_00043173	protein_coding	Ha1	10669609	10671548	-	1353	0.023	0.069	0	1.025	0	0	0	1.737	6.127	0.763
Ha1_00043175	Ha1_00043175	protein_coding	Ha1	10925733	10932107	-	2032	25.268	24.57	27.211	47.722	15.646	0.907	9.553	19.005	55.384	88.573
Ha1_00043176	Ha1_00043176	protein_coding	Ha1	11200389	11205182	+	2287	25.732	11.689	21.924	33.226	9.702	1.022	15.449	15.418	50.329	10.627
Ha1_00043177	Ha1_00043177	protein_coding	Ha1	11205105	11209696	-	678	174.377	18.684	48.815	84.499	12.7	0.268	48.865	13.868	167.248	26.433
Ha1_00043179	Ha1_00043179	protein_coding	Ha1	11359688	11361644	-	837	50.284	11.685	75.77	58.823	17.409	0.465	38.861	11.234	46.76	20.772
Ha1_00043180	Ha1_00043180	protein_coding	Ha1	11379497	11383934	+	743	0.253	1.003	2.134	0.656	0	4.333	0	23.954	0	0.36
Ha1_00043181	Ha1_00043181	protein_coding	Ha1	11438935	11440978	+	1041	0.06	0	0	0	0	12.919	0.041	122.367	0	3.083
Ha1_00043185	Ha1_00043185	protein_coding	Ha1	11877641	11881312	-	774	24.482	9.627	39.432	29.433	4.707	0.302	22.294	2.892	21.421	10.713
Ha1_00043186	Ha1_00043186	protein_coding	Ha1	12216478	12217723	+	1031	28.6	11.022	13.456	21.479	14.776	0.151	18.076	12.269	27.533	19.421
Ha1_00043187	Ha1_00043187	protein_coding	Ha1	12238149	12239735	+	494	28.737	20.741	37.711	26.092	27.486	0	22.53	12.236	27.765	26.377
Ha1_00043188	Ha1_00043188	protein_coding	Ha1	12347742	12352005	+	1429	0.503	0.13	2.08	1.18	1.159	0.018	0.996	0.783	1.477	0.588
Ha1_00043195	Ha1_00043195	protein_coding	Ha1	13305897	13307531	+	1401	8.191	8.71	28.716	11.687	6.855	0.278	5.82	7.91	22.019	6.601
Ha1_00043196	Ha1_00043196	protein_coding	Ha1	13345776	13347377	+	824	0.114	0.226	3.127	4.684	8.44	0	3.246	0.408	6.951	0.974
Ha1_00043198	Ha1_00043198	protein_coding	Ha1	13364865	13371581	-	2212	2.855	2.863	0.09	3.845	1.198	0.117	13.32	4.807	6.428	1.624
Ha1_00043199	Ha1_00043199	protein_coding	Ha1	13477034	13479793	+	2127	1.896	5.649	6.615	5.285	3.425	0.073	1.278	3.842	8.669	3.773
Ha1_00043201	Ha1_00043201	protein_coding	Ha1	13708047	13708362	-	216	18.964	0.431	8.258	11.796	0	0	1.797	1.036	13.258	3.361
Ha1_00043203	Ha1_00043203	protein_coding	Ha1	13750838	13758980	-	1705	16.286	5.245	3.022	11.032	9.712	1.705	11.74	26.13	32.001	9.772
Ha1_00043205	Ha1_00043205	protein_coding	Ha1	13947016	13951089	+	1140	541.94	251.739	426.271	544.751	159.194	0.888	145.953	57.932	296.644	237.754
Ha1_00043207	Ha1_00043207	protein_coding	Ha1	13960760	13964731	-	753	7.142	13.236	37.9	42.147	7.037	1.345	57.003	8.771	10.409	7.206
Ha1_00043209	Ha1_00043209	protein_coding	Ha1	14143932	14147341	+	942	2.025	0.297	3.787	1.034	0.703	19.568	2.656	1.188	1.707	0.608
Ha1_00043210	Ha1_00043210	protein_coding	Ha1	14159723	14166685	+	1275	31.735	20.163	30	31.151	36.104	4090.873	187.341	276.99	28.647	64.077
Ha1_00043211	Ha1_00043211	protein_coding	Ha1	14167417	14170965	-	1294	37.842	14.325	28.334	74.215	14.588	0.241	14.735	14.187	140.784	26.932
Ha1_00043216	Ha1_00043216	protein_coding	Ha1	14375951	14376745	+	795	0.197	0.117	4.238	1.178	0	0	1.031	1.971	25.784	0.192
Ha1_00043220	Ha1_00043220	protein_coding	Ha1	14668083	14670348	-	1810	1.572	16.108	3.504	47.385	0.732	0	0	0.804	1.194	11.147
Ha1_00043222	Ha1_00043222	protein_coding	Ha1	14741657	14761257	+	982	1.656	0.19	0.404	1.068	0.674	0.529	0.966	1.14	1.637	2.023
Ha1_00043223	Ha1_00043223	protein_coding	Ha1	14758485	14758899	-	291	0	0.64	0.681	0.515	0	0.714	0	0.769	0.691	0.657
Ha1_00043224	Ha1_00043224	protein_coding	Ha1	14765822	14770318	-	2967	0.569	2.731	2.338	2.576	1.339	0.306	0.393	1.698	4.013	0.618
Ha1_00043225	Ha1_00043225	protein_coding	Ha1	14844051	14859501	+	897	16.628	1.246	4.861	10.652	1.108	0.116	2.645	2.246	10.362	2.897
Ha1_00043228	Ha1_00043228	protein_coding	Ha1	14932931	14934622	+	1498	1.816	4.477	4.234	0.85	2.432	0.017	9.532	0.224	2.113	1.505
Ha1_00043229	Ha1_00043229	protein_coding	Ha1	14946881	14952398	-	1407	0.8	0.728	0.986	0.746	0	0	1.257	0.398	1.071	0.19
Ha1_00043239	Ha1_00043239	protein_coding	Ha1	15348177	15354097	+	3204	35.534	23.054	53.876	37.083	20.362	0.122	24.626	9.538	51.997	19.392
Ha1_00043240	Ha1_00043240	protein_coding	Ha1	15362124	15362522	+	399	0	4.202	0	1.69	0	0.195	0	5.611	0	105.155
Ha1_00043246	Ha1_00043246	protein_coding	Ha1	15680993	15691327	+	1797	7.03	5.339	10.477	15.576	2.58	1.387	5.665	9.344	11.016	5.507
Ha1_00043249	Ha1_00043249	protein_coding	Ha1	15904109	15904576	+	468	0.535	1.194	0	0	0	0	0.277	0	3.435	7.185
Ha1_00043251	Ha1_00043251	protein_coding	Ha1	15975257	15980122	-	2698	2.584	3.867	10.872	8.069	2.087	11.961	1.615	133.968	6.089	4.221
Ha1_00043252	Ha1_00043252	protein_coding	Ha1	15983895	15988121	-	1713	42.678	27.623	47.435	25.636	26.293	0.5	54.018	19.081	30.561	32.167
Ha1_00043253	Ha1_00043253	protein_coding	Ha1	16009436	16010071	+	527	127.449	126.021	0.376	38.607	16.967	0.246	40.11	155.48	11.631	146.396
Ha1_00043254	Ha1_00043254	protein_coding	Ha1	16105748	16108449	-	2004	19.317	7.902	17.603	35.506	11.237	1.619	29.082	34.799	33.62	12.28
Ha1_00043256	Ha1_00043256	protein_coding	Ha1	16175607	16178369	-	829	128.056	19.213	77.696	66.125	57.126	2.286	125.41	14.988	103.149	39.733
Ha1_00043257	Ha1_00043257	protein_coding	Ha1	16185314	16189434	-	1375	14.327	7.113	18.017	44.881	7.226	17.258	22.683	253.996	2.74	34.572
Ha1_00043258	Ha1_00043258	protein_coding	Ha1	16212529	16217471	-	1870	30.884	33.523	25.859	35.686	22.137	0.944	14.695	25.62	24.879	24.358
Ha1_00043259	Ha1_00043259	protein_coding	Ha1	16283835	16284434	-	339	44.367	9.067	46.769	95.718	11.723	0.153	2.8	2.972	60.764	8.229
Ha1_00043261	Ha1_00043261	protein_coding	Ha1	16341831	16343575	-	550	0.455	0	0	0.273	0.602	0	0.314	0	0.457	0
Ha1_00043262	Ha1_00043262	protein_coding	Ha1	16447461	16447915	-	369	9.237	4.544	6.445	8.022	5.385	0.211	5.378	1.82	11.845	6.731
Ha1_00043263	Ha1_00043263	protein_coding	Ha1	16451056	16451603	-	417	69.961	16.753	48.002	63.617	14.295	5.977	54.725	187.367	101.928	39.587
Ha1_00043266	Ha1_00043266	protein_coding	Ha1	16544362	16555484	+	1634	5.377	1.71	3.032	4.196	1.216	0.524	1.795	0.617	8.671	2.175
Ha1_00043267	Ha1_00043267	protein_coding	Ha1	16627038	16633345	+	2440	0.026	0	0.244	0.046	0	0.011	0	0.184	0.329	0.094
Ha1_00043269	Ha1_00043269	protein_coding	Ha1	16768542	16770286	-	469	0.667	0.596	0	0.559	0	0.055	0.644	0.477	0.321	0.244
Ha1_00043270	Ha1_00043270	protein_coding	Ha1	16861240	16862893	-	399	60.814	8.171	34.769	99.73	6.64	0.325	9.622	5.33	69.255	9.385
Ha1_00043272	Ha1_00043272	protein_coding	Ha1	17076418	17079866	+	2158	76.535	105.965	127.562	76.71	82.562	1.588	141.231	55.294	85.489	91.971
Ha1_00043275	Ha1_00043275	protein_coding	Ha1	17252136	17259600	+	1826	4.88	7.754	1.845	12.086	7.436	0.114	11.269	4.659	9.19	19.839
Ha1_00043276	Ha1_00043276	protein_coding	Ha1	17266250	17267424	-	356	6.851	9.681	4.454	2.421	0.93	0.438	3.029	4.716	6.774	6.226
Ha1_00043277	Ha1_00043277	protein_coding	Ha1	17268034	17269977	-	537	1.165	0.694	1.107	0.977	0	0.193	0.482	0	1.216	0.427
Ha1_00043278	Ha1_00043278	protein_coding	Ha1	17274381	17275333	-	297	19.372	2.195	16.682	8.074	4.46	0	10.458	2.261	9.642	4.246
Ha1_00043279	Ha1_00043279	protein_coding	Ha1	17281387	17285553	-	865	6.832	1.4	5.728	7.667	1.914	0.03	2.793	0.906	7.086	2.209
Ha1_00043280	Ha1_00043280	protein_coding	Ha1	17382977	17383893	+	733	0.128	0.762	2.163	0.307	0.904	0.035	0.471	2.443	0.206	0.209
Ha1_00043284	Ha1_00043284	protein_coding	Ha1	17448614	17455340	-	5404	1.128	6.084	2.42	3.266	1.471	0.077	1.621	7.706	15.461	3.818
Ha1_00043285	Ha1_00043285	protein_coding	Ha1	17480200	17483363	-	1659	11.252	3.369	13.021	10.638	3.394	42.113	19.632	7.692	22.925	6.472
Ha1_00043287	Ha1_00043287	protein_coding	Ha1	17587957	17593495	-	1635	6.445	1.766	8.849	11.894	2.633	0.016	6.385	1.164	9.956	2.454
Ha1_00043288	Ha1_00043288	protein_coding	Ha1	17612862	17613735	+	512	1.954	1.273	4.258	3	0.647	17.443	4.803	2.842	2.846	1.791
Ha1_00043289	Ha1_00043289	protein_coding	Ha1	17667099	17668214	+	486	3.346	3.258	5.709	1.465	1.363	0.053	0.533	4.146	1.551	0.708
Ha1_00043295	Ha1_00043295	protein_coding	Ha1	18042210	18046480	-	1367	0	0	0	0.11	0.969	0	0.221	0	0.074	0.084
Ha1_00043296	Ha1_00043296	protein_coding	Ha1	18147496	18148483	+	696	0	0	0	0.215	0.476	11.34	0	18.013	0	0.988
Ha1_00043299	Ha1_00043299	protein_coding	Ha1	18376053	18387081	+	3121	0.491	0.358	3.747	0.828	0.637	0	0.111	0.143	2.56	0.612
Ha1_00043301	Ha1_00043301	protein_coding	Ha1	18397794	18405817	-	933	0.335	0	0.637	0.522	0	0	0.416	0.12	0.646	0.205
Ha1_00043302	Ha1_00043302	protein_coding	Ha1	18497870	18506898	+	1209	2.664	0.462	13.114	1.922	0	0	0.036	0	2.161	0.19
Ha1_00043304	Ha1_00043304	protein_coding	Ha1	18515888	18516876	+	784	0.638	0.832	0.758	0.43	0	0	0.66	0	0.705	0.439
Ha1_00043305	Ha1_00043305	protein_coding	Ha1	18558580	18567028	+	1956	7.242	2.857	1.824	2.969	1.862	0.04	7.697	0.916	11.687	3.145
Ha1_00043308	Ha1_00043308	protein_coding	Ha1	19042130	19046760	+	969	5.712	1.923	4.295	6.496	1.025	0.027	6.322	0.809	6.066	2.8
Ha1_00043309	Ha1_00043309	protein_coding	Ha1	19068349	19072220	-	2532	0.062	0.037	0	0	0	0	0.034	0	0.159	0.03
Ha1_00043311	Ha1_00043311	protein_coding	Ha1	19535080	19538375	+	2202	0.256	0.296	0.36	0.187	0.15	0	0.255	0.305	0.479	0.139
Ha1_00043312	Ha1_00043312	protein_coding	Ha1	19610356	19611926	-	864	0.109	0.97	17.204	4.77	3.45	0.03	0.849	0	2.849	0.221
Ha1_00043313	Ha1_00043313	protein_coding	Ha1	19664138	19668663	-	1753	0.125	0	0.452	0.171	0.189	0	0.123	0.064	0.373	0.262
Ha1_00043314	Ha1_00043314	protein_coding	Ha1	19741740	19756540	+	609	323.831	289.227	23.756	125.144	323.013	0.341	130.692	26.1	49.086	289.321
Ha1_00043315	Ha1_00043315	protein_coding	Ha1	20002886	20005454	+	960	68.336	2.814	33.237	3.981	0.69	0	0.09	4.431	1.675	30.888
Ha1_00043316	Ha1_00043316	protein_coding	Ha1	20078591	20084767	-	3178	25.257	43.027	60.927	32.553	83.991	10.008	60.392	54.067	73.228	32.813
Ha1_00043321	Ha1_00043321	protein_coding	Ha1	20648494	20649780	+	1251	0.05	0.074	0.317	0.06	0	0	0.034	0	0.04	0
Ha1_00043323	Ha1_00043323	protein_coding	Ha1	20651832	20654641	+	1622	0.039	0.402	0.367	0.185	0	0.192	0.239	0	0.96	0.118
Ha1_00043325	Ha1_00043325	protein_coding	Ha1	20691910	20693184	+	1190	0.026	0.235	0	0.031	0	0.065	0.218	0	0.296	0.032
Ha1_00043326	Ha1_00043326	protein_coding	Ha1	20699845	20707187	-	2298	0.136	0.041	0.259	0.489	0	0.124	0.638	0.195	0.853	0.116
Ha1_00043327	Ha1_00043327	protein_coding	Ha1	21118060	21120374	+	740	0.127	0	0.268	0.051	0	0	0.933	0.303	0	0.31
Ha1_00043328	Ha1_00043328	protein_coding	Ha1	21476364	21477523	-	774	10.423	0	10.242	0.048	0	0	0	0.289	2.532	0.197
Ha1_00043330	Ha1_00043330	protein_coding	Ha1	22203702	22204321	+	504	3.04	2.772	11.797	7.211	1.971	0.155	1.455	2.665	15.052	3.715
Ha1_00043331	Ha1_00043331	protein_coding	Ha1	22237793	22238945	-	496	0.189	0.563	0.4	0.982	0	0.209	0.174	0	1.722	0.154
