gene	gene_name	gene_type	chr	start	end	strand	length	Bract	Corolla	Leaves	Ligule	Ovary	Pollen	Seed	Stamen	Stem	Style
Ha1_00043142	Ha1_00043142	protein_coding	Ha1	6702919	6704700	-	1671	49	3	5	24	7	2	18	5	46	19
Ha1_00043145	Ha1_00043145	protein_coding	Ha1	6919954	6921477	+	468	619	78	77	20	2	0	4	0	66	4
Ha1_00043147	Ha1_00043147	protein_coding	Ha1	6966201	6966672	-	258	18	3	3	40	1	10	34	9	23	18
Ha1_00043148	Ha1_00043148	protein_coding	Ha1	7274205	7277123	-	1023	420	365	105	823	110	53	766	371	655	905
Ha1_00043149	Ha1_00043149	protein_coding	Ha1	7376054	7377386	+	576	565	61	257	542	7	1	125	7	305	32
Ha1_00043150	Ha1_00043150	protein_coding	Ha1	7577010	7583133	-	1398	334	19	22	364	3	71	81	41	351	94
Ha1_00043154	Ha1_00043154	protein_coding	Ha1	8433613	8437495	+	2178	1	6	21	69	3	0	43	12	140	11
Ha1_00043156	Ha1_00043156	protein_coding	Ha1	9303719	9307329	+	831	173	16	17	115	4	4	89	14	188	69
Ha1_00043157	Ha1_00043157	protein_coding	Ha1	9667435	9675184	+	1397	891	133	44	758	20	4	370	165	602	388
Ha1_00043159	Ha1_00043159	protein_coding	Ha1	9930261	9934907	-	2878	1223	739	684	1414	145	4	935	218	1137	890
Ha1_00043160	Ha1_00043160	protein_coding	Ha1	9956582	9960461	-	1014	1429	145	331	1266	59	12	514	140	1103	528
Ha1_00043161	Ha1_00043161	protein_coding	Ha1	10067828	10070321	+	1008	623	55	4	57	52	4	1990	190	233	363
Ha1_00043162	Ha1_00043162	protein_coding	Ha1	10105017	10110072	+	1118	722	298	56	357	65	54	592	270	680	416
Ha1_00043163	Ha1_00043163	protein_coding	Ha1	10114271	10124555	+	2322	1040	189	593	981	21	7	404	29	534	243
Ha1_00043164	Ha1_00043164	protein_coding	Ha1	10209541	10211009	-	324	4	4	0	10	0	6	4	66	3	63
Ha1_00043169	Ha1_00043169	protein_coding	Ha1	10424134	10428038	+	615	4713	277	132	1159	91	38	1916	401	2025	2213
Ha1_00043170	Ha1_00043170	protein_coding	Ha1	10440741	10442948	+	752	3172	683	42	980	182	5	980	41	311	1907
Ha1_00043173	Ha1_00043173	protein_coding	Ha1	10669609	10671548	-	1353	1	1	0	37	0	0	0	21	165	27
Ha1_00043175	Ha1_00043175	protein_coding	Ha1	10925733	10932107	-	2032	1642	536	279	2588	96	71	450	345	2240	4710
Ha1_00043176	Ha1_00043176	protein_coding	Ha1	11200389	11205182	+	2287	1882	287	253	2028	67	90	819	315	2291	636
Ha1_00043177	Ha1_00043177	protein_coding	Ha1	11205105	11209696	-	678	3781	136	167	1529	26	7	768	84	2257	469
Ha1_00043179	Ha1_00043179	protein_coding	Ha1	11359688	11361644	-	837	1346	105	320	1314	44	15	754	84	779	455
Ha1_00043180	Ha1_00043180	protein_coding	Ha1	11379497	11383934	+	743	6	8	8	13	0	124	0	159	0	7
Ha1_00043181	Ha1_00043181	protein_coding	Ha1	11438935	11440978	+	1041	2	0	0	0	0	518	1	1138	0	84
Ha1_00043185	Ha1_00043185	protein_coding	Ha1	11877641	11881312	-	774	606	80	154	608	11	9	400	20	330	217
Ha1_00043186	Ha1_00043186	protein_coding	Ha1	12216478	12217723	+	1031	943	122	70	591	46	6	432	113	565	524
Ha1_00043187	Ha1_00043187	protein_coding	Ha1	12238149	12239735	+	494	454	110	94	344	41	0	258	54	273	341
Ha1_00043188	Ha1_00043188	protein_coding	Ha1	12347742	12352005	+	1429	23	2	15	45	5	1	33	10	42	22
Ha1_00043195	Ha1_00043195	protein_coding	Ha1	13305897	13307531	+	1401	367	131	203	437	29	15	189	99	614	242
Ha1_00043196	Ha1_00043196	protein_coding	Ha1	13345776	13347377	+	824	3	2	13	103	21	0	62	3	114	21
Ha1_00043198	Ha1_00043198	protein_coding	Ha1	13364865	13371581	-	2212	202	68	1	227	8	10	683	95	283	94
Ha1_00043199	Ha1_00043199	protein_coding	Ha1	13477034	13479793	+	2127	129	129	71	300	22	6	63	73	367	210
Ha1_00043201	Ha1_00043201	protein_coding	Ha1	13708047	13708362	-	216	131	1	9	68	0	0	9	2	57	19
Ha1_00043203	Ha1_00043203	protein_coding	Ha1	13750838	13758980	-	1705	888	96	26	502	50	112	464	398	1086	436
Ha1_00043205	Ha1_00043205	protein_coding	Ha1	13947016	13951089	+	1140	19758	3081	2452	16574	548	39	3857	590	6731	7093
Ha1_00043207	Ha1_00043207	protein_coding	Ha1	13960760	13964731	-	753	172	107	144	847	16	39	995	59	156	142
Ha1_00043209	Ha1_00043209	protein_coding	Ha1	14143932	14147341	+	942	61	3	18	26	2	710	58	10	32	15
Ha1_00043210	Ha1_00043210	protein_coding	Ha1	14159723	14166685	+	1275	1294	276	193	1060	139	200901	5537	3155	727	2138
Ha1_00043211	Ha1_00043211	protein_coding	Ha1	14167417	14170965	-	1294	1566	199	185	2563	57	12	442	164	3626	912
Ha1_00043216	Ha1_00043216	protein_coding	Ha1	14375951	14376745	+	795	5	1	17	25	0	0	19	14	408	4
Ha1_00043220	Ha1_00043220	protein_coding	Ha1	14668083	14670348	-	1810	91	313	32	2289	4	0	0	13	43	528
Ha1_00043222	Ha1_00043222	protein_coding	Ha1	14741657	14761257	+	982	52	2	2	28	2	20	22	10	32	52
Ha1_00043223	Ha1_00043223	protein_coding	Ha1	14758485	14758899	-	291	0	2	1	4	0	8	0	2	4	5
Ha1_00043224	Ha1_00043224	protein_coding	Ha1	14765822	14770318	-	2967	54	87	35	204	12	35	27	45	237	48
Ha1_00043225	Ha1_00043225	protein_coding	Ha1	14844051	14859501	+	897	477	12	22	255	3	4	55	18	185	68
Ha1_00043228	Ha1_00043228	protein_coding	Ha1	14932931	14934622	+	1498	87	72	32	34	11	1	331	3	63	59
Ha1_00043229	Ha1_00043229	protein_coding	Ha1	14946881	14952398	-	1407	36	11	7	28	0	0	41	5	30	7
Ha1_00043239	Ha1_00043239	protein_coding	Ha1	15348177	15354097	+	3204	3641	793	871	3171	197	15	1829	273	3316	1626
Ha1_00043240	Ha1_00043240	protein_coding	Ha1	15362124	15362522	+	399	0	18	0	18	0	3	0	20	0	1098
Ha1_00043246	Ha1_00043246	protein_coding	Ha1	15680993	15691327	+	1797	404	103	95	747	14	96	236	150	394	259
Ha1_00043249	Ha1_00043249	protein_coding	Ha1	15904109	15904576	+	468	8	6	0	0	0	0	3	0	32	88
Ha1_00043251	Ha1_00043251	protein_coding	Ha1	15975257	15980122	-	2698	223	112	148	581	17	1243	101	3229	327	298
Ha1_00043252	Ha1_00043252	protein_coding	Ha1	15983895	15988121	-	1713	2338	508	410	1172	136	33	2145	292	1042	1442
Ha1_00043253	Ha1_00043253	protein_coding	Ha1	16009436	16010071	+	527	2148	713	1	543	27	5	490	732	122	2019
Ha1_00043254	Ha1_00043254	protein_coding	Ha1	16105748	16108449	-	2004	1238	170	178	1899	68	125	1351	623	1341	644
Ha1_00043256	Ha1_00043256	protein_coding	Ha1	16175607	16178369	-	829	3395	171	325	1463	143	73	2410	111	1702	862
Ha1_00043257	Ha1_00043257	protein_coding	Ha1	16185314	16189434	-	1375	630	105	125	1647	30	914	723	3120	75	1244
Ha1_00043258	Ha1_00043258	protein_coding	Ha1	16212529	16217471	-	1870	1847	673	244	1781	125	68	637	428	926	1192
Ha1_00043259	Ha1_00043259	protein_coding	Ha1	16283835	16284434	-	339	481	33	80	866	12	2	22	9	410	73
Ha1_00043261	Ha1_00043261	protein_coding	Ha1	16341831	16343575	-	550	8	0	0	4	1	0	4	0	5	0
Ha1_00043262	Ha1_00043262	protein_coding	Ha1	16447461	16447915	-	369	109	18	12	79	6	3	46	6	87	65
Ha1_00043263	Ha1_00043263	protein_coding	Ha1	16451056	16451603	-	417	933	75	101	708	18	96	529	698	846	432
Ha1_00043266	Ha1_00043266	protein_coding	Ha1	16544362	16555484	+	1634	281	30	25	183	6	33	68	9	282	93
Ha1_00043267	Ha1_00043267	protein_coding	Ha1	16627038	16633345	+	2440	2	0	3	3	0	1	0	4	16	6
Ha1_00043269	Ha1_00043269	protein_coding	Ha1	16768542	16770286	-	469	10	3	0	7	0	1	7	2	3	3
Ha1_00043270	Ha1_00043270	protein_coding	Ha1	16861240	16862893	-	399	776	35	70	1062	8	5	89	19	550	98
Ha1_00043272	Ha1_00043272	protein_coding	Ha1	17076418	17079866	+	2158	5282	2455	1389	4418	538	132	7065	1066	3672	5194
Ha1_00043275	Ha1_00043275	protein_coding	Ha1	17252136	17259600	+	1826	285	152	17	589	41	8	477	76	334	948
Ha1_00043276	Ha1_00043276	protein_coding	Ha1	17266250	17267424	-	356	78	37	8	23	1	6	25	15	48	58
Ha1_00043277	Ha1_00043277	protein_coding	Ha1	17268034	17269977	-	537	20	4	3	14	0	4	6	0	13	6
Ha1_00043278	Ha1_00043278	protein_coding	Ha1	17274381	17275333	-	297	184	7	25	64	4	0	72	6	57	33
Ha1_00043279	Ha1_00043279	protein_coding	Ha1	17281387	17285553	-	865	189	13	25	177	5	1	56	7	122	50
Ha1_00043280	Ha1_00043280	protein_coding	Ha1	17382977	17383893	+	733	3	6	8	6	2	1	8	16	3	4
Ha1_00043284	Ha1_00043284	protein_coding	Ha1	17448614	17455340	-	5404	195	353	66	471	24	16	203	372	1663	540
Ha1_00043285	Ha1_00043285	protein_coding	Ha1	17480200	17483363	-	1659	597	60	109	471	17	2691	755	114	757	281
Ha1_00043287	Ha1_00043287	protein_coding	Ha1	17587957	17593495	-	1635	337	31	73	519	13	1	242	17	324	105
Ha1_00043288	Ha1_00043288	protein_coding	Ha1	17612862	17613735	+	512	32	7	11	41	1	344	57	13	29	24
Ha1_00043289	Ha1_00043289	protein_coding	Ha1	17667099	17668214	+	486	52	17	14	19	2	1	6	18	15	9
Ha1_00043295	Ha1_00043295	protein_coding	Ha1	18042210	18046480	-	1367	0	0	0	4	4	0	7	0	2	3
Ha1_00043296	Ha1_00043296	protein_coding	Ha1	18147496	18148483	+	696	0	0	0	4	1	304	0	112	0	18
Ha1_00043299	Ha1_00043299	protein_coding	Ha1	18376053	18387081	+	3121	49	12	59	69	6	0	8	4	159	50
Ha1_00043301	Ha1_00043301	protein_coding	Ha1	18397794	18405817	-	933	10	0	3	13	0	0	9	1	12	5
Ha1_00043302	Ha1_00043302	protein_coding	Ha1	18497870	18506898	+	1209	103	6	80	62	0	0	1	0	52	6
Ha1_00043304	Ha1_00043304	protein_coding	Ha1	18515888	18516876	+	784	16	7	3	9	0	0	12	0	11	9
Ha1_00043305	Ha1_00043305	protein_coding	Ha1	18558580	18567028	+	1956	453	60	18	155	11	3	349	16	455	161
Ha1_00043308	Ha1_00043308	protein_coding	Ha1	19042130	19046760	+	969	177	20	21	168	3	1	142	7	117	71
Ha1_00043309	Ha1_00043309	protein_coding	Ha1	19068349	19072220	-	2532	5	1	0	0	0	0	2	0	8	2
Ha1_00043311	Ha1_00043311	protein_coding	Ha1	19535080	19538375	+	2202	18	7	4	11	1	0	13	6	21	8
Ha1_00043312	Ha1_00043312	protein_coding	Ha1	19610356	19611926	-	864	3	9	75	110	9	1	17	0	49	5
Ha1_00043313	Ha1_00043313	protein_coding	Ha1	19664138	19668663	-	1753	7	0	4	8	1	0	5	1	13	12
Ha1_00043314	Ha1_00043314	protein_coding	Ha1	19741740	19756540	+	609	6307	1891	73	2034	594	8	1845	142	595	4611
Ha1_00043315	Ha1_00043315	protein_coding	Ha1	20002886	20005454	+	960	2098	29	161	102	2	0	2	38	32	776
Ha1_00043316	Ha1_00043316	protein_coding	Ha1	20078591	20084767	-	3178	2567	1468	977	2761	806	1225	4449	1535	4632	2729
Ha1_00043321	Ha1_00043321	protein_coding	Ha1	20648494	20649780	+	1251	2	1	2	2	0	0	1	0	1	0
Ha1_00043323	Ha1_00043323	protein_coding	Ha1	20651832	20654641	+	1622	2	7	3	8	0	12	9	0	31	5
Ha1_00043325	Ha1_00043325	protein_coding	Ha1	20691910	20693184	+	1190	1	3	0	1	0	3	6	0	7	1
Ha1_00043326	Ha1_00043326	protein_coding	Ha1	20699845	20707187	-	2298	10	1	3	30	0	11	34	4	39	7
Ha1_00043327	Ha1_00043327	protein_coding	Ha1	21118060	21120374	+	740	3	0	1	1	0	0	16	2	0	6
Ha1_00043328	Ha1_00043328	protein_coding	Ha1	21476364	21477523	-	774	258	0	40	1	0	0	0	2	39	4
Ha1_00043330	Ha1_00043330	protein_coding	Ha1	22203702	22204321	+	504	49	15	30	97	3	3	17	12	151	49
Ha1_00043331	Ha1_00043331	protein_coding	Ha1	22237793	22238945	-	496	3	3	1	13	0	4	2	0	17	2
Ha1_00043337	Ha1_00043337	protein_coding	Ha1	22809620	22811870	-	1398	341	111	45	414	12	5	154	87	539	323
Ha1_00043343	Ha1_00043343	protein_coding	Ha1	22995318	22997898	+	906	333	24	88	336	13	2	77	26	571	99
Ha1_00043344	Ha1_00043344	protein_coding	Ha1	23005942	23007669	+	462	4	0	0	2	0	0	1	0	2	1
Ha1_00043345	Ha1_00043345	protein_coding	Ha1	23082045	23083148	+	1104	5	2	15	21	1	0	1	0	8	2
Ha1_00043349	Ha1_00043349	protein_coding	Ha1	23497324	23498716	-	766	738	114	76	264	26	7	906	39	291	644
Ha1_00043350	Ha1_00043350	protein_coding	Ha1	23537553	23553444	+	3786	0	7	0	5	1	193	118	333	7	10
Ha1_00043352	Ha1_00043352	protein_coding	Ha1	23876597	23885375	-	1115	800	47	81	597	16	0	254	48	601	412
Ha1_00043355	Ha1_00043355	protein_coding	Ha1	23964465	23966749	+	549	32	10	6	10	3	2	128	12	413	48
Ha1_00043356	Ha1_00043356	protein_coding	Ha1	24059672	24062193	+	1725	2	6	4	18	3	0	2	24	329	2
Ha1_00043357	Ha1_00043357	protein_coding	Ha1	24488727	24492201	-	1488	1968	1088	526	1390	355	2	494	229	6206	1953
Ha1_00043362	Ha1_00043362	protein_coding	Ha1	25262869	25272312	+	528	851	36	53	807	7	22	210	43	589	483
Ha1_00043364	Ha1_00043364	protein_coding	Ha1	25277833	25278166	-	243	1	2	1	4	0	0	1	0	12	3
Ha1_00043366	Ha1_00043366	protein_coding	Ha1	25473425	25475701	+	681	297	48	171	1697	26	2	159	55	462	190
Ha1_00043367	Ha1_00043367	protein_coding	Ha1	25477670	25493696	-	4171	22	41	74	124	2	20	94	29	229	139
Ha1_00043369	Ha1_00043369	protein_coding	Ha1	25565179	25574146	-	2254	23248	1912	1142	5974	381	22	3284	373	13572	5717
Ha1_00043371	Ha1_00043371	protein_coding	Ha1	25849658	25852826	+	636	2	0	0	2	0	1	0	0	1	2
Ha1_00043372	Ha1_00043372	protein_coding	Ha1	25877386	25878832	-	1341	3	0	1	0	23	0	6691	7	48	3
Ha1_00043373	Ha1_00043373	protein_coding	Ha1	25960804	25965943	-	1413	911	78	67	421	12	25	315	79	490	171
Ha1_00043375	Ha1_00043375	protein_coding	Ha1	26228301	26231337	-	738	75	13	37	137	6	1	10	9	79	12
Ha1_00043376	Ha1_00043376	protein_coding	Ha1	26377719	26380812	-	2391	92	16	105	418	9	3	78	19	73	27
Ha1_00043377	Ha1_00043377	protein_coding	Ha1	26494833	26497199	-	1174	485	118	278	631	31	3	356	240	456	182
Ha1_00043378	Ha1_00043378	protein_coding	Ha1	26615042	26618726	-	1229	4	0	1	3	0	5	15	5	6	6
Ha1_00043379	Ha1_00043379	protein_coding	Ha1	27050530	27051687	-	569	33	5	4	20	0	22	19	13	31	17
Ha1_00043380	Ha1_00043380	protein_coding	Ha1	27056183	27062291	+	4157	577	114	346	343	18	16	224	115	346	250
Ha1_00043383	Ha1_00043383	protein_coding	Ha1	27232317	27233706	+	1307	357	0	11	68	0	1	22	7	75	7
Ha1_00043386	Ha1_00043386	protein_coding	Ha1	27287476	27291934	+	696	440	26	66	279	9	9	210	20	224	114
Ha1_00043387	Ha1_00043387	protein_coding	Ha1	27341475	27342025	+	467	64702	9029	780	15801	705	141	8375	4756	1610	96312
Ha1_00043390	Ha1_00043390	protein_coding	Ha1	27927749	27930101	+	1380	1205	49	22	422	6	3	194	75	1031	420
Ha1_00043392	Ha1_00043392	protein_coding	Ha1	28081975	28087478	+	1584	40	0	3	12	0	0	17	4	107	11
Ha1_00043394	Ha1_00043394	protein_coding	Ha1	28134090	28138013	+	883	9638	1589	795	6399	479	122	4805	1507	7366	6272
Ha1_00043403	Ha1_00043403	protein_coding	Ha1	28404933	28405287	-	292	9	3	0	2	4	1	61	146	3	8
Ha1_00043405	Ha1_00043405	protein_coding	Ha1	28478778	28490549	+	1328	32	185	89	1460	7	0	16	0	40	8
Ha1_00043409	Ha1_00043409	protein_coding	Ha1	28935506	28936827	-	423	7	0	1	42	3	0	1	0	1	2
Ha1_00043410	Ha1_00043410	protein_coding	Ha1	28939946	28946711	+	2777	14	23	3	274	1	0	2	0	0	1
Ha1_00043412	Ha1_00043412	protein_coding	Ha1	29001904	29004510	+	1185	8	2	0	5	5	0	8	55	2187	2
Ha1_00043413	Ha1_00043413	protein_coding	Ha1	29017773	29020048	+	1551	521	196	116	532	79	11	251	115	561	470
Ha1_00043414	Ha1_00043414	protein_coding	Ha1	29249228	29257252	+	2758	1473	697	424	2259	82	35	1949	602	1408	1702
Ha1_00043415	Ha1_00043415	protein_coding	Ha1	29440322	29441158	+	672	99	21	20	157	0	9	22	20	151	33
Ha1_00043416	Ha1_00043416	protein_coding	Ha1	29443646	29445842	-	1091	3011	354	572	3015	62	4	346	124	1375	491
Ha1_00043421	Ha1_00043421	protein_coding	Ha1	29562137	29564501	-	1571	9	158	1	17	69	2402	41	41688	20	2741
Ha1_00043423	Ha1_00043423	protein_coding	Ha1	29621607	29624186	+	675	656	170	85	430	45	7	442	64	364	378
Ha1_00043424	Ha1_00043424	protein_coding	Ha1	29665855	29667767	-	825	52	0	11	35	1	7	17	24	144	23
Ha1_00043425	Ha1_00043425	protein_coding	Ha1	29833413	29834114	-	702	24	10	44	287	9	0	17	9	42	154
Ha1_00043429	Ha1_00043429	protein_coding	Ha1	30279468	30281932	-	1276	621	59	59	448	23	19	863	95	530	218
Ha1_00043430	Ha1_00043430	protein_coding	Ha1	30487230	30491674	-	1822	9	27	12	12	0	0	207	0	0	6
Ha1_00043432	Ha1_00043432	protein_coding	Ha1	30706927	30709893	-	1560	6	2	3	10	0	0	13	0	11	4
